Easting,Northing,Elevation,Distance (m),origin,longitude,latitude
407755.998469884,1420175.89905766,29.1110427652579,0.0,Maptiler terrain provider,12.845260436927331,80.14991704579126
407756.996155133,1420175.8353948,29.0905019557277,1.00008404254913,Maptiler terrain provider,12.845259891056413,80.14992624127314
407757.993840377,1420175.77173194,29.0699611467309,2.00016808509827,Maptiler terrain provider,12.845259345185168,80.14993543675496
407758.991525622,1420175.70806908,29.0494203381762,3.00025224685669,Maptiler terrain provider,12.845258799313598,80.14994463223678
407759.989210881,1420175.64440622,29.0288795298118,4.00033617019653,Maptiler terrain provider,12.845258253441708,80.14995382771872
407760.986896131,1420175.58074335,29.0083387221269,5.00042009353638,Maptiler terrain provider,12.845257707569399,80.14996302320054
407761.984581383,1420175.51708049,28.9877979148097,6.00050449371338,Maptiler terrain provider,12.845257161696859,80.14997221868236
407762.982266631,1420175.45341763,28.9672571080729,7.00058841705322,Maptiler terrain provider,12.845256615823992,80.14998141416413
407763.979951899,1420175.38975477,28.9467163013589,8.00067234039307,Maptiler terrain provider,12.845256069950803,80.14999060964608
407764.97763715,1420175.3260919,28.9261754955006,9.00075626373291,Maptiler terrain provider,12.845255524077194,80.14999980512783
407765.975322403,1420175.26242904,28.9056346900287,10.0008401870728,Maptiler terrain provider,12.845254978203354,80.1500090006096
407766.973007672,1420175.19876618,28.8850938847069,11.0009241104126,Maptiler terrain provider,12.84525443232919,80.15001819609148
407767.970692929,1420175.13510332,28.8645530800676,12.0010089874268,Maptiler terrain provider,12.845253886454701,80.15002739157325
407768.968378195,1420175.07144046,28.8440122757234,13.0010929107666,Maptiler terrain provider,12.84525334057989,80.15003658705507
407769.966063458,1420175.0077776,28.8234714719389,14.0011768341064,Maptiler terrain provider,12.84525279470475,80.15004578253685
407770.963748727,1420174.94411473,28.8029306684732,15.0012607574463,Maptiler terrain provider,12.8452522488292,80.15005497801866
